parcelle;zone;date;time;sequence;ins-7;pl-7;hr-7;t-7;s;ac;ac_m;var_s;var_ac;var_ac_m
BOR;anjou;25/09/2000;5.0;30.0;34.5;12.0;77.21;17.2142857142857;186.3;6.97;5.96;6.900000000000006;-0.9800000000000004;-1.04
BOR;anjou;02/10/2000;6.0;30.0;37.2;38.0;78.0;15.2642857142857;188.6;6.97;5.84;2.299999999999983;0.0;-0.1200000000000001
BLO;anjou;25/09/2000;5.0;31.0;34.5;12.0;77.21;17.2142857142857;181.7;7.64;6.44;NA;NA;NA
BLO;anjou;02/10/2000;6.0;31.0;37.2;38.0;78.0;15.2642857142857;180.5;7.64;6.74;-1.1999999999999886;0.0;0.2999999999999998
VAL;anjou;25/09/2000;5.0;32.0;34.5;12.0;77.21;17.2142857142857;206.8;5.57;4.32;NA;NA;NA
VAL;anjou;02/10/2000;6.0;32.0;37.2;38.0;78.0;15.2642857142857;219.5;5.16;3.65;12.699999999999989;-0.41000000000000014;-0.6700000000000004
SAU;anjou;04/09/2001;6.0;33.0;38.1;18.5;68.79;16.735714285714298;151.0;9.1;8.4;NA;NA;NA
VAL;anjou;04/09/2001;6.0;34.0;38.1;18.5;68.79;16.735714285714298;156.0;9.3;9.0;NA;NA;NA
CAD;anjou;13/09/2016;2.0;35.0;44.9;12.8;66.57;22.5;160.4;7.99;8.11;NA;NA;NA
CAD;anjou;20/09/2016;3.0;35.0;24.4;11.6;76.21;17.7714285714286;171.5;6.62;6.38;11.099999999999994;-1.37;-1.7299999999999995
CAD;anjou;27/09/2016;4.0;35.0;48.5;0.4;68.21;18.3357142857143;205.7;5.78;4.69;34.19999999999999;-0.8399999999999999;-1.6899999999999995
CAD;anjou;04/10/2016;5.0;35.0;41.0;5.8;74.86;16.15;212.5;5.29;4.08;6.800000000000011;-0.4900000000000002;-0.6100000000000003
CAD;anjou;11/10/2016;6.0;35.0;38.8;0.2;71.5;13.1;224.1;5.19;4.15;11.599999999999994;-0.09999999999999964;0.07000000000000028
COR;anjou;13/09/2016;1.0;36.0;71.0;10.4;69.29;20.1928571428571;160.4;7.99;6.93;NA;NA;NA
